Date,Price,,,,,
6/20/2022,32.20,,,,,
6/21/2022,33.00,,,,,
6/22/2022,33.00,,,,,
6/23/2022,33.00,,,,,
6/24/2022,35.00,,,,,
6/27/2022,35.10,,,,,
6/28/2022,33.00,,,,,
6/29/2022,34.00,,,,,
6/30/2022,33.00,,,,,
7/1/2022,34.80,,,,,
7/4/2022,33.00,,,,,
7/5/2022,33.00,,,,,
7/6/2022,32.50,,,,,
7/7/2022,32.00,,,,,
7/8/2022,31.60,,,,,
7/11/2022,33.80,,,,,
7/12/2022,31.90,,,,,
7/14/2022,33.00,,,,,
7/15/2022,31.50,,,,,
7/18/2022,32.60,,,,,
7/19/2022,33.40,,,,,
7/20/2022,33.50,,,,,
7/21/2022,34.90,,,,,
7/22/2022,33.00,,,,,
7/25/2022,33.10,,,,,
7/26/2022,32.80,,,,,
7/27/2022,33.00,,,,,
7/28/2022,33.90,,,,,
7/29/2022,34.00,,,,,
8/1/2022,34.00,,,,,
8/2/2022,32.50,,,,,
8/3/2022,35.20,,,,,
8/4/2022,34.10,,,,,
8/5/2022,36.30,,,,,
8/8/2022,35.00,,,,,
8/9/2022,35.50,,,,,
8/10/2022,38.00,,,,,
8/12/2022,39.00,,,,,
8/15/2022,39.00,,,,,
8/16/2022,39.00,,,,,
8/17/2022,39.00,,,,,
8/18/2022,38.50,,,,,
8/19/2022,39.10,,,,,
8/22/2022,38.10,,,,,
8/23/2022,39.00,,,,,
8/24/2022,40.00,,,,,
8/25/2022,38.60,,,,,
8/26/2022,40.00,,,,,
8/29/2022,38.60,,,,,
8/30/2022,37.40,,,,,
8/31/2022,37.10,,,,,
9/1/2022,39.80,,,,,
9/2/2022,40.00,,,,,
9/5/2022,40.80,,,,,
9/6/2022,41.70,,,,,
9/7/2022,39.50,,,,,
9/8/2022,40.00,,,,,
9/9/2022,39.50,,,,,
9/12/2022,39.50,,,,,
9/13/2022,40.00,,,,,
9/14/2022,41.50,,,,,
9/15/2022,41.00,,,,,
9/16/2022,41.10,,,,,
9/19/2022,41.60,,,,,
9/20/2022,41.50,,,,,
9/21/2022,40.00,,,,,
9/22/2022,40.10,,,,,
9/23/2022,40.50,,,,,
9/26/2022,40.50,,,,,
9/27/2022,38.70,,,,,
9/28/2022,39.60,,,,,
9/29/2022,40.00,,,,,
9/30/2022,39.50,,,,,
10/3/2022,38.60,,,,,
10/4/2022,37.50,,,,,
10/5/2022,37.80,,,,,
10/6/2022,40.00,,,,,
10/7/2022,38.50,,,,,
10/11/2022,36.00,,,,,
10/12/2022,35.60,,,,,
10/13/2022,37.90,,,,,
10/14/2022,36.00,,,,,
10/17/2022,36.20,,,,,
10/18/2022,36.20,,,,,
10/19/2022,36.40,,,,,
10/20/2022,37.50,,,,,
10/21/2022,36.30,,,,,
10/25/2022,36.10,,,,,
